Temperatur,Volumen in cm3,Druck
51,4,16
51,2,27.5
51,1.75,29.5
51,1.5,32.75
51,1.25,35.5
51,1.1,37.25
51,1,38.25
51,0.9,39.25
51,0.8,40
51,0.65,41.5
51,0.5,44.5
