Temperatur,Volumen in cm3,Druck
30.4,4,14
30.4,3.75,14.75
30.4,3.5,15.5
30.4,3.25,16.25
30.4,3,17.5
30.4,2.75,18.5
30.4,2.5,20.25
30.4,2.25,21.75
30.4,2,23.5
30.4,1.75,25.25
30.4,0.175,30.75
